Game Type,Date,Opponent,TTO,Pitcher,P Hand,Inning,Pitch Count,Batter,B Hand,ROB,Count,Outs,PAResCopy1,Pitch Type,Pitch Result,PA Result,Base Adv.,Exit Velo,BIP Type,Pitch Velo,TTP,PAResCopy2,OA3,Putaways,Catcher,Umpire,PitcherCopy,Team W-L,Score,Start/Relief,W,L,S,IP,R,ER,LO #,LO-reach,LO-Score,BI,BI-Ch,SD Inn,SD-Ch,M-out,M-Ch,1st Responder,IR,IR-Score,Previous Pitch Type,Previous Pitch result,Previous PA Result,BlankCol1,BlankCol2,BlankCol3,BlankCol4,BlankCol5,BlankCol6,BlankCol7,BlankCol8,BlankCol9,BlankCol10
DO NOT USE THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,Leadoff,,,Big Innings,,Shutdowns,,Momentum,,,Inherited,,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22 Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,6,Kender,RHH,BE,3-2,0,KL,FB,Str-take,KL,,,,88,,KL,Y,Y,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,6,Kender,RHH,BE,3-2,0,KL,FB,Str-take,KL,,,,88,,KL,Y,Y,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,7,Trommer,LHH,BE,0-0,1,,FB,Ball,,,,,87,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,7,Trommer,LHH,BE,0-0,1,,FB,Ball,,,,,87,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,8,Trommer,LHH,BE,1-0,1,,FB,Str-take,,,,,88,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,8,Trommer,LHH,BE,1-0,1,,FB,Str-take,,,,,88,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,9,Trommer,LHH,BE,1-1,1,,CH,Ball,,,,,83,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,9,Trommer,LHH,BE,1-1,1,,CH,Ball,,,,,83,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,10,Trommer,LHH,BE,2-1,1,,SL,Str-S/M,,,,,81,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,10,Trommer,LHH,BE,2-1,1,,SL,Str-S/M,,,,,81,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,11,Trommer,LHH,BE,2-2,1,,SL,Str-foul,,,,,79,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,11,Trommer,LHH,BE,2-2,1,,SL,Str-foul,,,,,79,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,12,Trommer,LHH,BE,2-2,1,KL,FB,Str-take,KL,,,,88,,KL,N,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,12,Trommer,LHH,BE,2-2,1,KL,FB,Str-take,KL,,,,88,,KL,N,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,13,Morabito,LHH,BE,0-0,2,,SL,Str-foul,,,,,79,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,13,Morabito,LHH,BE,0-0,2,,SL,Str-foul,,,,,79,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,14,Morabito,LHH,BE,0-1,2,,CH,Ball,,,,,84,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,14,Morabito,LHH,BE,0-1,2,,CH,Ball,,,,,84,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,15,Morabito,LHH,BE,1-1,2,,SL,Ball,,,,,79,,,,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,15,Morabito,LHH,BE,1-1,2,,SL,Ball,,,,,79,,,,,Bullock,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mulvey,L,3,16,Morabito,LHH,BE,2-1,2,BB,FB,Ball,BB,,,,88,,BB,N,,Bullock,,*,1/29/25,INTRASQUAD,,Mulvey,L,3,16,Morabito,LHH,BE,2-1,2,BB,FB,Ball,BB,,,,88,,BB,N,,Bullock,,,,,,,,,
